petromag_u,petromag_g,petromag_r,petromag_i,petromag_z,petror50_r,petror90_r,concentration,devab_r,u_g,g_r,r_i,i_z,target
19.02774,17.487066,16.775278,16.35047,16.06279,2.494026,6.790056,2.722528153275066,0.616003,1.5406740000000028,0.7117879999999985,0.42480799999999874,0.2876800000000017,elliptical
18.228308,17.009373,16.416782,16.021749,15.785794,2.617994,5.425934,2.072554024187985,0.7,1.2189349999999983,0.5925909999999988,0.3950330000000015,0.23595500000000058,elliptical
19.258045,17.178354,16.149349,15.692777,15.37446,2.536915,7.550951,2.9764304282957847,0.826899,2.0796910000000004,1.029004999999998,0.4565720000000013,0.3183170000000004,elliptical
18.826595,16.976576,16.117329,15.664383,15.379037,2.529984,7.387836,2.9201117477422787,0.661354,1.8500189999999996,0.8592469999999999,0.45294600000000074,0.28534600000000054,elliptical
18.632311,17.419504,16.682373,16.309332,16.037376,3.065978,6.17566,2.014254505413933,0.532566,1.2128070000000015,0.7371310000000015,0.37304099999999707,0.271956000000003,elliptical
17.631351,16.340134,15.757627,15.460646,15.241451,2.250807,6.252944,2.778089814008931,0.690947,1.2912169999999996,0.5825069999999997,0.29698099999999883,0.21919500000000092,elliptical
17.479372,15.597094,14.673439,14.228663,13.93329,4.499928,12.187015,2.7082688878577614,0.690045,1.8822780000000012,0.9236550000000001,0.44477600000000095,0.29537299999999966,spiral
19.37501,17.709915,16.895716,16.558077,16.378584,2.935777,9.023521,3.0736397893981735,0.948498,1.6650950000000009,0.8141989999999986,0.33763899999999936,0.1794930000000008,elliptical
20.125116,18.099796,16.992401,16.58713,16.152977,1.981368,6.72538,3.3943114050494407,0.852407,2.025319999999997,1.1073950000000004,0.4052710000000026,0.43415299999999846,elliptical
18.782078,16.531067,15.707437,15.320537,15.074918,2.327457,6.182292,2.6562432732377013,0.912576,2.2510109999999983,0.8236299999999996,0.3869000000000007,0.2456189999999996,elliptical
19.758007,17.313721,16.233118,15.759785,15.479161,3.299843,10.464437,3.1711923870317467,0.832681,2.444285999999998,1.080603,0.4733330000000002,0.2806240000000013,elliptical
19.434374,17.71979,16.795341,16.354391,16.023886,2.457042,7.315962,2.9775486133326172,0.827645,1.7145839999999986,0.9244489999999992,0.44095000000000084,0.3305049999999987,elliptical
18.557541,16.969852,16.144972,15.761436,15.479114,3.065623,9.636635,3.143450776563198,0.958398,1.587689000000001,0.8248800000000003,0.38353599999999943,0.28232200000000063,elliptical
18.180838,16.998024,16.629725,16.377096,16.282902,5.278578,14.232923,2.6963555336304585,0.219229,1.1828140000000005,0.3682990000000004,0.2526289999999989,0.09419400000000167,spiral
18.241493,16.539534,15.744751,15.380607,15.105008,2.308108,7.03434,3.0476650139421557,0.450798,1.7019589999999987,0.7947829999999989,0.36414400000000136,0.2755989999999997,elliptical
18.753733,17.037117,16.180586,15.705602,15.402846,3.683,9.548421,2.592566114580505,0.494556,1.716616000000002,0.8565309999999968,0.47498400000000096,0.30275600000000047,spiral
17.472494,15.532946,14.665236,14.209335,13.880658,4.887165,15.184167,3.1069478931036705,0.774676,1.9395480000000003,0.8677100000000006,0.4559010000000008,0.328676999999999,elliptical
18.634506,16.913931,16.053003,15.642068,15.349549,2.437372,7.78115,3.192434310396608,0.744798,1.7205749999999966,0.8609280000000012,0.4109350000000003,0.2925190000000004,elliptical
19.597895,17.464148,16.721676,16.264231,15.771783,2.32529,7.222988,3.1062740561392346,0.651129,2.1337469999999996,0.7424720000000029,0.4574449999999999,0.49244799999999955,elliptical
19.218458,17.51586,16.6632,16.254816,15.972808,1.810521,5.334469,2.9463723425467037,0.680141,1.7025979999999983,0.8526600000000002,0.4083839999999981,0.28200800000000115,elliptical
19.275484,17.554083,16.955387,16.644266,16.30669,2.360537,5.234766,2.217616584700854,0.460653,1.7214010000000002,0.5986959999999968,0.31112100000000353,0.33757599999999854,elliptical
19.516411,18.305183,17.064379,16.606501,16.296043,2.53865,9.183841,3.6176081775746947,0.778368,1.211228000000002,1.2408040000000007,0.45787799999999734,0.31045800000000057,elliptical
18.282398,17.105614,16.600803,16.303419,16.137959,2.645283,5.702161,2.155595828499257,0.657693,1.1767840000000014,0.5048110000000001,0.29738399999999743,0.16546000000000305,elliptical
18.336723,16.837376,16.081438,15.706886,15.596333,5.101068,10.208251,2.0011987685716015,0.73605,1.4993470000000002,0.7559380000000004,0.3745519999999978,0.11055300000000123,spiral
17.889721,16.756016,16.337267,16.001368,15.996474,3.075853,6.613678,2.150193133416974,0.57576,1.1337050000000026,0.41874899999999826,0.3358990000000013,0.004894000000000176,spiral
19.531963,17.619146,16.61347,16.154322,15.837143,2.379193,6.548194,2.752275246270479,0.986708,1.9128170000000004,1.0056760000000011,0.459147999999999,0.3171790000000012,elliptical
17.164022,16.792894,15.988792,15.438825,15.34865,5.052384,13.539174,2.67975949571529,0.741738,0.3711279999999988,0.8041020000000003,0.5499670000000005,0.09017500000000034,spiral
19.481209,17.436653,16.501713,16.040083,15.743123,2.314879,6.615407,2.857776583570891,0.637986,2.044556,0.934940000000001,0.46162999999999954,0.29695999999999856,elliptical
19.621311,18.042559,17.063828,16.646828,16.340158,1.725803,4.874566,2.8245205275457277,0.586291,1.578751999999998,0.9787309999999998,0.4170000000000016,0.30667000000000044,elliptical
17.014347,15.585242,14.916344,14.569609,14.404001,6.432176,15.554919,2.4182981000519885,0.484905,1.4291050000000016,0.6688979999999987,0.3467350000000007,0.16560800000000064,spiral
18.906261,17.514555,16.700897,16.236683,15.909431,2.348881,5.367369,2.285074893108676,0.354528,1.3917059999999992,0.8136580000000002,0.4642140000000019,0.32725199999999965,elliptical
18.54413,17.092649,16.394999,16.045778,15.804635,3.514243,7.670449,2.1826746186874386,0.39874,1.4514809999999976,0.697650000000003,0.349221,0.24114299999999922,elliptical
17.810944,15.900463,15.027542,14.616129,14.356209,5.299643,14.464767,2.7293851680198085,0.8384,1.910480999999999,0.8729209999999998,0.4114129999999996,0.25992000000000104,spiral
19.666908,17.89706,16.989471,16.580545,16.251032,1.423847,3.944905,2.7705961384895987,0.516922,1.7698479999999996,0.907588999999998,0.408926000000001,0.32951300000000217,elliptical
